iter	RMSE
0	2.342039656
1	2.326472313
2	2.311573206
3	2.297570114
4	2.284271533
5	2.272026443
6	2.260478013
7	2.249607775
8	2.238016287
9	2.227476807
10	2.217552437
11	2.20821056
12	2.199377223
13	2.190823184
14	2.182477791
15	2.175459547
16	2.167578107
17	2.159762726
18	2.153308835
19	2.146960548
20	2.140041276
21	2.133719356
22	2.127488249
23	2.121738031
24	2.116966811
25	2.111631776
26	2.106670009
27	2.101682282
28	2.097092394
29	2.092835099
30	2.0891214
31	2.085125908
32	2.081153854
33	2.077662487
34	2.074010384
35	2.070548658
36	2.066981267
37	2.063734676
38	2.060288073
39	2.057180406
40	2.054248772
41	2.051763933
42	2.049236887
43	2.046657491
44	2.043921727
45	2.041637821
46	2.039255571
47	2.037463284
48	2.035582904
49	2.0335921
50	2.031446927
51	2.030105046
52	2.028376586
53	2.026641934
54	2.024927031
55	2.022956045
56	2.021246415
57	2.019581383
58	2.018156379
59	2.016788409
60	2.014987321
61	2.013327726
62	2.011838854
63	2.010755204
64	2.009081228
65	2.008287179
66	2.007085488
67	2.006091556
68	2.005172099
69	2.0040765
70	2.002803306
71	2.00164149
72	2.000664699
73	1.99983607
74	1.998973064
75	1.997806517
76	1.997044294
77	1.996217976
78	1.99527696
79	1.994662921
80	1.993888598
81	1.992906689
82	1.991833144
83	1.991058461
84	1.990168619
85	1.98937424
86	1.988901042
87	1.988270047
88	1.987782671
89	1.987084846
90	1.98615192
91	1.985506661
92	1.984915864
93	1.984320695
94	1.983814176
95	1.98333448
96	1.982723971
97	1.982214248
98	1.981305532
99	1.980725749
100	1.980049642
101	1.979758873
102	1.979074532
103	1.978274499
104	1.977501617
105	1.976795477
106	1.976337248
107	1.975803425
108	1.975428757
109	1.974527449
110	1.973922694
111	1.97326082
112	1.972730165
113	1.972066301
114	1.971769259
115	1.971170753
116	1.970790357
117	1.970539788
118	1.970267019
119	1.969854702
120	1.969110649
121	1.968556103
122	1.968073932
123	1.967688814
124	1.967084221
125	1.966569548
126	1.96622761
127	1.965589735
128	1.965181239
129	1.964838129
130	1.964378804
131	1.96368068
132	1.963394686
133	1.963098476
134	1.962857367
135	1.962301636
136	1.961884526
137	1.961506013
138	1.960965868
139	1.960574024
140	1.960101293
141	1.959808529
142	1.959317846
143	1.958512466
144	1.958300813
145	1.957719569
146	1.957289324
147	1.956886177
148	1.956384198
149	1.956063165
150	1.955555621
151	1.955369559
152	1.954701893
153	1.954340404
154	1.953813289
155	1.953419836
156	1.952887693
157	1.952722563
158	1.952347302
159	1.951765396
160	1.951452813
161	1.95103641
162	1.950653991
163	1.950294599
164	1.949922571
165	1.949218843
166	1.949020403
167	1.948868352
168	1.948464115
169	1.948081591
170	1.947816487
171	1.947564081
172	1.947305807
173	1.946942294
174	1.946207583
175	1.945698189
176	1.945451826
177	1.945019227
178	1.944826644
179	1.944389017
180	1.943977188
181	1.943666349
182	1.943526007
183	1.943154968
184	1.94302773
185	1.942519387
186	1.942326444
187	1.942139142
188	1.94178583
189	1.941436997
190	1.941343271
191	1.941207347
192	1.940885762
193	1.94071686
194	1.940373098
195	1.940095648
196	1.939689329
197	1.939063371
198	1.938675425
199	1.938531285
200	1.938381777
201	1.937789893
202	1.937417882
203	1.937084804
204	1.936786169
205	1.936406195
206	1.936261508
207	1.935885198
208	1.935569879
209	1.934806353
210	1.93466384
211	1.934380655
212	1.933734512
213	1.933129035
214	1.932659617
215	1.932367646
216	1.931754185
217	1.931524333
218	1.931266838
219	1.930719338
220	1.930517494
221	1.9301136
222	1.929727457
223	1.929655098
224	1.929358701
225	1.929269849
226	1.928935953
227	1.928692461
228	1.928345839
229	1.927911466
230	1.927417408
231	1.926836047
232	1.926422035
233	1.925933114
234	1.92574566
235	1.925146879
236	1.924924488
237	1.924452532
238	1.924228064
