iter	Passed	Remaining
0	0	905
1	1	873
2	2	821
3	3	922
4	4	884
5	5	841
6	5	814
7	6	810
8	7	773
9	7	731
10	8	741
11	8	740
12	9	756
13	10	763
14	11	757
15	12	754
16	12	741
17	13	731
18	14	723
19	14	726
20	15	728
21	16	719
22	16	713
23	17	709
24	17	700
25	20	767
26	23	842
27	24	833
28	24	813
29	25	811
30	25	804
31	26	797
32	27	794
33	28	807
34	29	802
35	30	814
36	30	798
37	31	794
38	31	788
39	33	792
40	34	799
41	34	795
42	35	784
43	35	780
44	37	795
45	38	792
46	38	786
47	39	781
48	40	779
49	40	778
50	41	774
51	42	767
52	42	764
53	43	761
54	45	780
55	46	778
56	47	780
57	48	784
58	49	784
59	49	778
60	51	788
61	51	784
62	57	850
63	58	862
64	59	860
65	61	871
66	62	863
67	62	859
68	63	862
69	64	858
70	66	863
71	67	866
72	68	870
73	69	871
74	72	889
75	76	929
76	77	931
77	78	933
78	79	930
79	80	925
80	82	930
81	82	926
82	84	936
83	85	933
84	88	956
85	89	951
86	90	950
87	92	953
88	92	950
89	93	946
90	94	948
91	95	944
92	96	942
93	97	941
94	98	936
95	100	944
96	101	940
97	102	939
98	103	938
99	104	936
100	104	930
101	105	928
102	106	925
103	107	925
104	108	923
105	109	927
106	110	922
107	111	919
108	111	915
109	112	910
110	113	905
111	113	901
112	114	899
113	115	897
114	116	894
115	116	890
116	117	887
117	118	884
118	119	885
119	120	881
120	120	878
121	121	875
122	122	873
123	123	870
124	123	867
125	124	864
126	125	861
127	125	857
128	126	855
129	127	852
130	128	849
131	128	845
132	129	843
133	130	840
134	131	840
135	131	838
136	132	836
137	133	834
138	134	831
139	134	829
140	135	826
141	136	824
142	137	822
143	138	820
144	138	817
145	139	815
146	140	813
147	140	810
148	141	808
149	142	807
150	143	804
151	143	802
152	144	799
153	145	797
154	145	795
155	146	792
156	147	789
157	148	790
158	148	788
159	149	786
160	150	783
161	151	782
162	151	780
163	152	778
164	154	780
165	155	779
166	156	781
167	157	778
168	158	778
169	159	778
170	171	830
171	181	873
172	192	917
173	197	937
174	198	936
175	202	948
176	203	945
177	204	944
178	205	942
179	206	939
180	207	937
181	208	935
182	209	934
183	212	942
184	217	959
185	219	958
186	219	955
187	220	951
188	221	948
189	221	945
190	222	942
191	223	940
192	224	937
193	224	934
194	225	931
195	226	928
196	226	925
197	227	922
198	228	920
199	229	917
200	230	916
201	231	912
202	231	909
203	232	906
204	232	903
205	233	901
206	234	898
207	235	896
208	236	893
209	236	890
210	237	887
211	238	886
212	239	883
213	239	880
214	240	877
215	241	874
216	242	874
217	243	872
218	243	869
219	244	866
220	245	864
221	245	861
222	246	859
223	247	856
224	248	854
225	248	851
226	249	849
227	250	849
228	251	847
229	252	844
230	252	842
231	253	839
232	254	837
233	255	835
234	255	833
235	256	831
236	257	828
237	257	825
238	258	823
239	259	820
240	259	817
241	260	815
242	261	813
243	261	811
244	262	809
245	263	807
246	264	805
247	264	803
